series,date,exports,exports_domestic,re_exports,imports,imports_retained,total,balance
growth_mom,2012-06-01,3.6,2.1,19.9,-4.4,-6.9,-0.2,95.0
abs,2012-07-01,58051281794.0,51286282405.0,6764999389.0,54504239100.0,47739239711.0,112555520894.0,3547042694.0
growth_yoy,2012-07-01,-2.7,-8.4,84.1,9.5,3.5,2.8,-64.1
growth_mom,2012-07-01,-4.9,-6.7,11.3,5.3,4.5,-0.2,-61.8
abs,2012-08-01,55668073212.0,50656662530.0,5011410682.0,48871576321.0,43860165639.0,104539649533.0,6796496891.0
growth_yoy,2012-08-01,-5.0,-7.7,34.6,2.8,0.1,-1.5,-38.6
growth_mom,2012-08-01,-4.1,-1.2,-25.9,-10.3,-8.1,-7.1,91.6
abs,2012-09-01,59942321870.0,54320836571.0,5621485299.0,53142734185.0,47521248886.0,113085056055.0,6799587685.0
growth_yoy,2012-09-01,2.1,-0.9,44.8,8.4,5.2,5.0,-29.6
growth_mom,2012-09-01,7.7,7.2,12.2,8.7,8.3,8.2,0.0
abs,2012-10-01,61229715163.0,54736064859.0,6493650304.0,51686300092.0,45192649788.0,112916015255.0,9543415071.0
growth_yoy,2012-10-01,-3.3,-6.2,30.0,5.6,2.8,0.6,-33.8
growth_mom,2012-10-01,2.1,0.8,15.5,-2.7,-4.9,-0.1,40.4
abs,2012-11-01,58316825835.0,52344669727.0,5972156108.0,49377602699.0,43405446591.0,107694428534.0,8939223136.0
growth_yoy,2012-11-01,2.6,-0.1,35.3,4.3,1.1,3.4,-5.5
growth_mom,2012-11-01,-4.8,-4.4,-8.0,-4.5,-4.0,-4.6,-6.3
abs,2012-12-01,57487433652.0,51583070061.0,5904363591.0,49022707677.0,43118344086.0,106510141329.0,8464725975.0
growth_yoy,2012-12-01,-5.4,-8.5,34.5,-6.5,-10.3,-5.9,1.8
growth_mom,2012-12-01,-1.4,-1.5,-1.1,-0.7,-0.7,-1.1,-5.3
abs,2013-01-01,57080009968.0,49872925917.0,7207084051.0,53724592564.0,46517508513.0,110804602532.0,3355417404.0
growth_yoy,2013-01-01,3.6,-2.2,75.5,16.0,10.2,9.3,-61.9
growth_mom,2013-01-01,-0.7,-3.3,22.1,9.6,7.9,4.0,-60.4
abs,2013-02-01,52493269342.0,45813794873.0,6679474469.0,44254804367.0,37575329898.0,96748073709.0,8238464975.0
growth_yoy,2013-02-01,-7.8,-13.1,57.5,-4.4,-10.6,-6.3,-22.9
growth_mom,2013-02-01,-8.0,-8.1,-7.3,-17.6,-19.2,-12.7,145.5
abs,2013-03-01,60049396558.0,53758414880.0,6290981678.0,55111512364.0,48820530686.0,115160908922.0,4937884194.0
growth_yoy,2013-03-01,-3.2,-4.9,15.4,7.4,6.4,1.6,-53.7
growth_mom,2013-03-01,14.4,17.3,-5.8,24.5,29.9,19.0,-40.1
abs,2013-04-01,55836591370.0,50515021030.0,5321570340.0,54771255537.0,49449685197.0,110607846907.0,1065335833.0
growth_yoy,2013-04-01,-3.5,-4.4,6.2,9.1,9.4,2.3,-86.1
growth_mom,2013-04-01,-7.0,-6.0,-15.4,-0.6,1.3,-4.0,-78.4
abs,2013-05-01,55656734155.0,49412111217.0,6244622938.0,52922490040.0,46677867102.0,108579224195.0,2734244115.0
growth_yoy,2013-05-01,-5.6,-8.3,23.2,-2.3,-4.9,-4.0,-42.6
growth_mom,2013-05-01,-0.3,-2.2,17.3,-3.4,-5.6,-1.8,156.7
abs,2013-06-01,56648840040.0,50422537115.0,6226302925.0,52423218308.0,46196915383.0,109072058348.0,4225621732.0
growth_yoy,2013-06-01,-7.2,-8.3,2.4,1.3,1.1,-3.3,-54.5
growth_mom,2013-06-01,1.8,2.0,-0.3,-0.9,-1.0,0.5,54.5
abs,2013-07-01,60629588129.0,52560572868.0,8069015261.0,57863972251.0,49794956990.0,118493560380.0,2765615878.0
growth_yoy,2013-07-01,4.4,2.5,19.3,6.2,4.3,5.3,-22.0
growth_mom,2013-07-01,7.0,4.2,29.6,10.4,7.8,8.6,-34.6
abs,2013-08-01,62795949689.0,52563717818.0,10232231871.0,55788771651.0,45556539780.0,118584721340.0,7007178038.0
growth_yoy,2013-08-01,12.8,3.8,104.2,14.2,3.9,13.4,3.1
growth_mom,2013-08-01,3.6,0.0,26.8,-3.6,-8.5,0.1,153.4
abs,2013-09-01,63283497110.0,55227082572.0,8056414538.0,54599253291.0,46542838753.0,117882750401.0,8684243819.0
growth_yoy,2013-09-01,5.6,1.7,43.3,2.7,-2.1,4.2,27.7
growth_mom,2013-09-01,0.8,5.1,-21.3,-2.1,2.2,-0.6,23.9
abs,2013-10-01,67193590152.0,57231839694.0,9961750458.0,58561683032.0,48599932574.0,125755273184.0,8631907120.0
growth_yoy,2013-10-01,9.7,4.6,53.4,13.3,7.5,11.4,-9.6
growth_mom,2013-10-01,6.2,3.6,23.6,7.3,4.4,6.7,-0.6
abs,2013-11-01,62408583265.0,54330662875.0,8077920390.0,52523550275.0,44445629885.0,114932133540.0,9885032990.0
